,season,auc,micro_f1,acc,f1_class,len
0,1986,0.8105372767645587,0.47731755424063116,0.47731755424063116,[0.63478863 0.42943957 0.35418359 0.45418848 0.49893993],17742
1,1987,0.8167436919219476,0.4867052023121387,0.4867052023121387,[0.65106072 0.48962656 0.3557377  0.45638432 0.47049808],17300
2,1988,0.8191730664156707,0.48697394789579157,0.48697394789579157,[0.65848375 0.47116737 0.35109718 0.41495601 0.5237167 ],17461
3,1989,0.8208701981644861,0.4966334500403986,0.4966334500403986,[0.66480447 0.49024707 0.37037037 0.41931385 0.53089533],18562
4,1990,0.8148361271154654,0.4905802562170309,0.4905802562170309,[0.71046229 0.46483909 0.33784747 0.39362354 0.52428394],19902
5,1991,0.8095455130045204,0.4781841109709962,0.4781841109709962,[0.66544567 0.45454545 0.32880845 0.37877853 0.53317394],19824
6,1992,0.8216444152790882,0.4888777805548613,0.4888777805548613,[0.66096866 0.42596093 0.33406273 0.49469214 0.48825623],20002
7,1993,0.8112951842176793,0.49018145662440965,0.49018145662440965,[0.65575687 0.44119694 0.33722438 0.50507983 0.4840962 ],20115
8,1994,0.8173355900547599,0.4817027632561613,0.4817027632561613,[0.64357017 0.45139284 0.30651341 0.46727961 0.50493653],20084
9,1995,0.8248121226948653,0.5100050025012506,0.5100050025012506,[0.69977427 0.42596349 0.37294813 0.47093365 0.55167874],19986
10,1996,0.814454199741875,0.47950428979980936,0.47950428979980936,[0.62622951 0.41720684 0.37871287 0.47214854 0.48973607],20978
11,1997,0.8243343469035327,0.49055690072639224,0.49055690072639224,[0.64079823 0.42719615 0.35094851 0.48126018 0.52945159],20648
12,1998,0.8308089360759852,0.5067938021454113,0.5067938021454113,[0.6698821  0.42687747 0.3962704  0.4617156  0.56149388],20971
13,1999,0.8125305353101402,0.4817843866171004,0.4817843866171004,[0.65457686 0.38453039 0.39514731 0.40759931 0.55522388],13449
14,2000,0.8084478792360426,0.48001848001848,0.48001848001848,[0.66528282 0.37799718 0.37479631 0.39888889 0.5562201 ],21643
15,2001,0.810553857075065,0.4838556505223172,0.4838556505223172,[0.63744198 0.39157895 0.37019515 0.38356164 0.58990357],21060
16,2002,0.8143245006801731,0.4911074223381551,0.4911074223381551,[0.62824859 0.42507123 0.37378326 0.4040025  0.60033917],21081
17,2003,0.8000998165773197,0.497566628041715,0.497566628041715,[0.60087241 0.41019417 0.39514731 0.36100533 0.64543726],21571
18,2004,0.8170187340454401,0.49469214437367304,0.49469214437367304,[0.60859466 0.39285714 0.38733706 0.4684492  0.60339777],21195
19,2005,0.815870835894575,0.5021381949133469,0.5021381949133469,[0.62933333 0.43139349 0.3588785  0.43768997 0.62394068],22212
20,2006,0.8249609861891372,0.5041095890410959,0.5041095890410959,[0.61409043 0.44298246 0.31630511 0.43396226 0.66888519],21897
21,2007,0.8118400405875782,0.4868390936140993,0.4868390936140993,[0.61175115 0.43675889 0.37199725 0.40022485 0.60505166],21841
22,2008,0.8125130266985098,0.4919774011299435,0.4919774011299435,[0.61743476 0.46300716 0.34515689 0.36901763 0.62105263],22122
23,2009,0.8185065983111377,0.507577471160371,0.507577471160371,[0.59833795 0.44515103 0.43688761 0.36350877 0.64924623],22103
24,2010,0.823288320709773,0.505388414907948,0.505388414907948,[0.66214908 0.40790238 0.40603248 0.416615   0.5941704 ],22268
25,2011,0.8330642535226476,0.5109054857898215,0.5109054857898215,[0.62619449 0.45428296 0.42978965 0.41538462 0.61829653],22691
26,2012,0.8322018846436816,0.5065928270042194,0.5065928270042194,[0.61256545 0.44798042 0.45779878 0.46406821 0.56505004],18960
27,2013,0.8255852826078739,0.4904679376083189,0.4904679376083189,[0.58595909 0.38478028 0.42973413 0.43746616 0.61596144],23079
28,2014,0.8229546435471281,0.5050832792558945,0.5050832792558945,[0.6453517  0.38832638 0.45919371 0.43891892 0.58181818],23114
29,2015,0.8243330174324566,0.5138624338624339,0.5138624338624339,[0.64074803 0.44221585 0.39342188 0.43092784 0.64891847],23621
30,2016,0.8100580132632192,0.49652704693748684,0.49652704693748684,[0.60050891 0.43478261 0.36525612 0.4072302  0.67622725],23751
31,2017,0.8012073531370225,0.4923464038582512,0.4923464038582512,[0.5988928  0.46342572 0.32675045 0.36561605 0.67321613],23843
32,2018,0.7842913244535404,0.47520401757689895,0.47520401757689895,[0.53098237 0.45793651 0.20246914 0.38482989 0.68361858],23891
33,2019,0.7845928057164109,0.49277486910994767,0.49277486910994767,[0.56720686 0.47316882 0.22435897 0.39381797 0.70378151],23875
34,2020,0.7679332733877025,0.45557156580211333,0.45557156580211333,[0.56864989 0.39161554 0.25141015 0.36065574 0.66029851],20820
35,2021,0.7723719614177955,0.45873959571938167,0.45873959571938167,[0.52276759 0.43889384 0.21465969 0.35676314 0.6959707 ],21022
36,2022,0.7705295164528546,0.4598941798941799,0.4598941798941799,[0.54223744 0.45899054 0.29311434 0.3020214  0.66420664],23623
37,2023,0.7829561782051702,0.46282051282051284,0.46282051282051284,[0.49905956 0.42233417 0.33550682 0.34414513 0.71283964],23400
38,2024,0.754300483736483,0.4299205838162696,0.4299205838162696,[0.50337079 0.35480944 0.33964194 0.30787879 0.66859456],23295
39,2025,0.7563128619543087,0.4586900684931507,0.4586900684931507,[0.49532127 0.5        0.22983257 0.30975143 0.65571914],23360
40,2026,0.7415708174588362,0.43500754472946757,0.43500754472946757,[0.4931164  0.47375596 0.21514508 0.26761474 0.63829787],23192
