Name,height,weight,birthdate,experience,bmi
shaquille o'neal,85.0,325.0,1972-03-06,19,31.622837370242216
grant hill,80.0,225.0,1972-10-05,18,24.71484375
juwan howard,81.0,250.0,1973-02-07,20,26.787075140984605
jason kidd,76.0,210.0,1973-03-23,19,25.55921052631579
kurt thomas,81.0,240.0,1972-10-04,18,25.715592135345222
antonio mcdyess,81.0,245.0,1974-09-07,16,26.251333638164915
kevin garnett,83.0,240.0,1976-05-19,22,24.49121788358252
jerry stackhouse,78.0,218.0,1974-11-05,19,25.189677843524
marcus camby,83.0,240.0,1974-03-22,18,24.49121788358252
rasheed wallace,83.0,230.0,1974-09-17,16,23.470750471766586
ray allen,77.0,205.0,1975-07-20,18,24.306797099004893
erick dampier,83.0,265.0,1975-07-14,17,27.04238641312237
steve nash,75.0,178.0,1974-02-07,19,22.246044444444443
derek fisher,73.0,210.0,1974-08-09,18,27.70313379620942
kobe bryant,78.0,212.0,1978-08-23,20,24.49638395792242
peja stojakovic,82.0,229.0,1977-06-09,14,23.94214753123141
jermaine o'neal,83.0,255.0,1978-10-13,18,26.02191900130643
zydrunas ilgauskas,87.0,260.0,1975-06-05,14,24.14850046241247
ben wallace,81.0,240.0,1974-09-10,17,25.715592135345222
tim duncan,83.0,250.0,1976-04-25,20,25.51168529539846
antonio daniels,76.0,205.0,1975-03-19,14,24.950657894736842
chauncey billups,75.0,210.0,1976-09-25,17,26.245333333333335
tracy mcgrady,80.0,225.0,1979-05-24,17,24.71484375
tony battie,83.0,240.0,1976-02-11,15,24.49121788358252
anthony parker,78.0,210.0,1975-06-19,10,24.265285996055226
stephen jackson,80.0,220.0,1978-04-05,14,24.165625
mikki moore,84.0,225.0,1975-11-04,14,22.417091836734695
mike bibby,74.0,195.0,1978-05-13,15,25.033783783783782
vince carter,78.0,220.0,1977-01-26,23,25.42077580539119
antawn jamison,81.0,235.0,1976-06-12,16,25.17985063252553
larry hughes,77.0,185.0,1979-01-23,13,21.935402260077584
jason williams,73.0,180.0,1975-11-18,12,23.74554325389379
dirk nowitzki,84.0,245.0,1978-06-19,22,24.40972222222222
paul pierce,79.0,235.0,1977-10-13,20,26.470918122095817
al harrington,81.0,245.0,1980-02-17,16,26.251333638164915
nazr mohammed,82.0,250.0,1977-09-05,19,26.137715645449138
rashard lewis,82.0,235.0,1979-08-08,16,24.56945270672219
sean marks,82.0,250.0,1975-08-23,11,26.137715645449138
brad miller,84.0,261.0,1976-04-12,15,26.003826530612244
anthony carter,73.0,190.0,1975-06-16,14,25.064740101332333
earl boykins,65.0,133.0,1976-06-02,14,22.12994082840237
elton brand,81.0,254.0,1979-03-11,18,27.21566834324036
baron davis,75.0,212.0,1979-04-13,14,26.49528888888889
lamar odom,82.0,230.0,1979-11-06,15,24.046698393813205
richard hamilton,79.0,193.0,1978-02-14,15,21.739945521551032
andre miller,75.0,200.0,1976-03-19,18,24.995555555555555
jason terry,74.0,185.0,1977-09-15,19,23.75
shawn marion,79.0,228.0,1978-05-07,16,25.682422688671686
corey maggette,78.0,225.0,1979-11-12,15,25.99852071005917
metta world peace,79.0,260.0,1979-11-13,18,29.286973241467713
james posey,80.0,217.0,1977-01-13,13,23.83609375
jeff foster,83.0,250.0,1977-01-16,13,25.51168529539846
andrei kirilenko,81.0,235.0,1981-02-18,13,25.17985063252553
francisco elson,84.0,240.0,1976-02-28,9,23.91156462585034
manu ginobili,78.0,205.0,1977-07-28,16,23.687541091387246
raja bell,77.0,210.0,1976-09-19,13,24.899645808736718
kenyon martin,81.0,225.0,1977-12-30,15,24.108367626886146
mike miller,80.0,218.0,1980-02-19,18,23.9459375
jamal crawford,77.0,200.0,1980-03-20,21,23.713948389273064
joel przybilla,85.0,245.0,1979-10-10,14,23.838754325259515
keyon dooling,75.0,195.0,1980-05-08,14,24.370666666666665
etan thomas,82.0,260.0,1978-04-01,10,27.183224271267104
hedo turkoglu,82.0,220.0,1979-03-19,15,23.001189767995243
quentin richardson,78.0,228.0,1980-04-13,14,26.34516765285996
deshawn stevenson,77.0,218.0,1981-04-03,14,25.84820374430764
jamaal magloire,83.0,265.0,1978-05-21,13,27.04238641312237
eduardo najera,80.0,235.0,1976-07-11,13,25.81328125
eddie house,73.0,190.0,1978-05-14,12,25.064740101332333
michael redd,78.0,215.0,1979-08-24,13,24.843030900723207
brian cardinal,80.0,240.0,1977-05-02,13,26.3625
malik allen,82.0,255.0,1978-06-27,11,26.66046995835812
kwame brown,83.0,290.0,1982-03-10,13,29.593554942662216
tyson chandler,84.0,235.0,1982-10-02,20,23.413407029478456
pau gasol,84.0,250.0,1980-07-06,19,24.907879818594104
eddy curry,84.0,295.0,1982-12-05,11,29.391298185941043
jason richardson,78.0,225.0,1981-01-20,14,25.99852071005917
shane battier,80.0,220.0,1978-09-09,13,24.165625
desagana diop,84.0,280.0,1982-01-30,13,27.896825396825395
vladimir radmanovic,82.0,235.0,1980-11-19,13,24.56945270672219
joe johnson,79.0,240.0,1981-06-29,18,27.034129145970198
troy murphy,83.0,245.0,1980-05-02,12,25.001451589490493
richard jefferson,79.0,233.0,1980-06-21,18,26.245633712546066
zach randolph,81.0,250.0,1981-07-16,18,26.787075140984605
jason collins,84.0,255.0,1978-12-02,13,25.406037414965986
brendan haywood,84.0,263.0,1979-11-27,13,26.203089569160998
gerald wallace,79.0,220.0,1982-07-23,15,24.78128505047268
jamaal tinsley,75.0,188.0,1978-02-28,11,23.495822222222223
samuel dalembert,83.0,255.0,1980-05-10,14,26.02191900130643
mike james,74.0,188.0,1975-06-23,12,24.135135135135137
tony parker,74.0,185.0,1982-05-17,19,23.75
gilbert arenas,76.0,215.0,1982-01-06,12,26.167763157894736
maurice evans,77.0,220.0,1978-11-08,10,26.085343228200372
brian scalabrine,81.0,235.0,1978-03-18,12,25.17985063252553
mehmet okur,83.0,260.0,1979-05-26,10,26.5321527072144
earl watson,73.0,199.0,1979-06-12,13,26.25201726402702
bobby simmons,78.0,235.0,1980-06-02,11,27.154010519395136
charlie bell,75.0,200.0,1979-03-12,8,24.995555555555555
carlos arroyo,74.0,200.0,1979-07-30,10,25.675675675675677
chris andersen,82.0,245.0,1978-07-07,15,25.614961332540155
mike dunleavy,81.0,230.0,1980-09-15,16,24.64410912970584
drew gooden,82.0,250.0,1981-09-24,15,26.137715645449138
chris wilcox,82.0,235.0,1982-09-03,12,24.56945270672219
amar'e stoudemire,82.0,245.0,1982-11-16,15,25.614961332540155
caron butler,79.0,228.0,1980-03-13,15,25.682422688671686
jared jeffries,83.0,240.0,1981-11-25,12,24.49121788358252
melvin ely,82.0,260.0,1978-05-02,9,27.183224271267104
tayshaun prince,81.0,212.0,1980-02-28,15,22.715439719554947
nenad krstic,84.0,240.0,1983-07-25,8,23.91156462585034
john salmons,78.0,210.0,1979-12-12,13,24.265285996055226
roger mason jr.,77.0,205.0,1980-09-10,11,24.306797099004893
dan gadzuric,83.0,240.0,1978-02-02,11,24.49121788358252
carlos boozer,81.0,258.0,1981-11-20,13,27.644261545496114
david andersen,,,1980-06-23,20,
matt barnes,79.0,226.0,1980-03-09,15,25.457138279121935
rasual butler,79.0,215.0,1979-05-23,14,24.218074026598302
luis scola,81.0,241.0,1980-04-30,10,25.82274043590916
reggie evans,80.0,245.0,1980-05-18,13,26.91171875
jannero pargo,73.0,185.0,1979-10-22,11,24.40514167761306
lebron james,81.0,250.0,1984-12-30,22,26.787075140984605
darko milicic,84.0,275.0,1985-06-20,10,27.398667800453516
carmelo anthony,79.0,238.0,1984-05-29,20,26.808844736420447
chris bosh,83.0,235.0,1984-03-24,14,23.980984177674554
dwyane wade,76.0,220.0,1982-01-17,17,26.776315789473685
chris kaman,84.0,265.0,1982-04-28,14,26.40235260770975
kirk hinrich,76.0,190.0,1981-01-02,14,23.125
t.j. ford,72.0,165.0,1983-03-24,8,22.375578703703702
nick collison,82.0,255.0,1980-10-26,15,26.66046995835812
mickael pietrus,78.0,215.0,1982-02-07,11,24.843030900723207
luke ridnour,74.0,175.0,1981-02-13,12,22.466216216216218
david west,81.0,250.0,1980-08-29,16,26.787075140984605
dahntay jones,78.0,225.0,1980-12-27,14,25.99852071005917
sasha pavlovic,79.0,235.0,1983-11-15,11,26.470918122095817
boris diaw,80.0,250.0,1982-04-16,15,27.4609375
travis outlaw,81.0,207.0,1984-09-18,11,22.179698216735254
brian cook,81.0,250.0,1980-12-04,10,26.787075140984605
carlos delfino,78.0,230.0,1982-08-29,9,26.576265614727152
kendrick perkins,82.0,270.0,1984-11-10,14,28.22873289708507
leandro barbosa,75.0,194.0,1982-11-28,15,24.24568888888889
josh howard,79.0,210.0,1980-04-28,10,23.65486300272392
jason kapono,80.0,215.0,1981-02-02,9,23.61640625
luke walton,80.0,235.0,1980-03-28,11,25.81328125
steve blake,75.0,172.0,1980-02-26,14,21.496177777777778
willie green,75.0,205.0,1981-07-28,12,25.620444444444445
zaza pachulia,83.0,270.0,1984-02-10,17,27.552620119030337
matt bonner,82.0,235.0,1980-04-05,13,24.56945270672219
keith bogans,77.0,215.0,1980-05-12,11,25.492494518468543
james jones,80.0,218.0,1980-10-04,15,23.9459375
mo williams,73.0,198.0,1982-12-19,14,26.12009757928317
marquis daniels,78.0,200.0,1981-01-07,11,23.109796186719265
kyle korver,79.0,212.0,1981-03-17,18,23.880147412273676
udonis haslem,79.0,235.0,1980-06-09,21,26.470918122095817
quinton ross,78.0,193.0,1981-04-30,7,22.30095332018409
ronald dupree,79.0,209.0,1981-01-26,7,23.542220797949046
josh davis,80.0,235.0,1980-08-10,4,25.81328125
matt carroll,78.0,212.0,1980-08-28,10,24.49638395792242
josh powell,81.0,240.0,1983-01-25,8,25.715592135345222
dwight howard,82.0,265.0,1985-12-08,19,27.705978584176087
emeka okafor,82.0,255.0,1982-09-28,11,26.66046995835812
ben gordon,75.0,205.0,1983-04-04,12,25.620444444444445
shaun livingston,79.0,192.0,1985-09-11,16,21.627303316776157
devin harris,75.0,185.0,1983-02-27,16,23.12088888888889
josh childress,80.0,210.0,1983-06-20,9,23.0671875
luol deng,81.0,237.0,1985-04-16,16,25.394147233653406
andre iguodala,78.0,215.0,1984-01-28,20,24.843030900723207
andris biedrins,84.0,250.0,1986-04-02,10,24.907879818594104
sebastian telfair,72.0,170.0,1985-06-09,10,23.053626543209877
kris humphries,81.0,235.0,1985-02-06,14,25.17985063252553
al jefferson,82.0,280.0,1985-01-04,14,29.274241522903033
josh smith,81.0,225.0,1985-12-05,13,24.108367626886146
jr smith,78.0,220.0,1985-09-09,17,25.42077580539119
dorell wright,81.0,205.0,1985-12-02,12,21.965401615607377
jameer nelson,72.0,190.0,1982-02-09,15,25.765817901234566
delonte west,75.0,180.0,1983-07-26,9,22.496
tony allen,76.0,213.0,1982-01-11,14,25.924342105263158
kevin martin,79.0,199.0,1983-02-01,13,22.41579875020029
sasha vujacic,79.0,195.0,1984-03-08,11,21.965229931100787
beno udrih,75.0,205.0,1982-07-05,14,25.620444444444445
anderson varejao,83.0,260.0,1982-09-28,14,26.5321527072144
andre emmett,77.0,230.0,1982-08-27,3,27.271040647664023
royal ivey,76.0,200.0,1981-12-20,10,24.342105263157894
chris duhon,73.0,190.0,1982-08-31,10,25.064740101332333
trevor ariza,80.0,215.0,1985-06-30,18,23.61640625
dj mbenga,84.0,255.0,1980-12-30,8,25.406037414965986
andres nocioni,,,1979-11-30,8,
earl barron,84.0,250.0,1981-08-14,9,24.907879818594104
damien wilkins,78.0,217.0,1980-01-11,10,25.074128862590403
andrew bogut,84.0,260.0,1984-11-28,15,25.90419501133787
marvin williams,80.0,237.0,1986-06-19,16,26.03296875
chris paul,72.0,175.0,1985-05-06,20,23.73167438271605
raymond felton,73.0,205.0,1984-06-26,15,27.043535372490147
martell webster,79.0,230.0,1986-12-04,11,25.90770709822144
charlie villanueva,83.0,232.0,1984-08-24,12,23.674843954129773
channing frye,84.0,255.0,1983-05-17,14,25.406037414965986
ike diogu,81.0,250.0,1983-09-11,7,26.787075140984605
deron williams,75.0,200.0,1984-06-26,13,24.995555555555555
andrew bynum,84.0,285.0,1987-10-27,8,28.394982993197278
joey graham,79.0,230.0,1982-06-11,7,25.90770709822144
danny granger,81.0,222.0,1983-04-20,11,23.78692272519433
gerald green,79.0,205.0,1986-01-26,13,23.091651978849544
hakim warrick,81.0,219.0,1982-07-08,8,23.465477823502514
nate robinson,69.0,180.0,1984-05-31,11,26.578449905482042
jarrett jack,75.0,200.0,1983-10-28,14,24.995555555555555
francisco garcia,79.0,215.0,1981-12-31,10,24.218074026598302
luther head,75.0,185.0,1982-11-26,6,23.12088888888889
johan petro,84.0,247.0,1986-01-27,9,24.608985260770975
jason maxiell,79.0,260.0,1983-02-18,10,29.286973241467713
linas kleiza,80.0,234.0,1985-01-03,8,25.7034375
ian mahinmi,83.0,262.0,1986-11-05,13,26.73624618957759
david lee,81.0,245.0,1983-04-29,13,26.251333638164915
brandon bass,80.0,250.0,1985-04-30,13,27.4609375
cj miles,78.0,220.0,1987-03-18,16,25.42077580539119
ersan ilyasova,81.0,235.0,1987-05-15,14,25.17985063252553
ronny turiaf,82.0,249.0,1983-01-13,10,26.033164782867342
von wafer,77.0,209.0,1985-07-21,8,24.78107606679035
monta ellis,75.0,185.0,1985-10-26,13,23.12088888888889
lou williams,74.0,175.0,1986-10-27,18,22.466216216216218
mickael gelabale,79.0,215.0,1983-05-22,4,24.218074026598302
andray blatche,83.0,260.0,1986-08-22,9,26.5321527072144
ryan gomes,79.0,245.0,1982-09-01,8,27.597340169844575
amir johnson,81.0,240.0,1987-05-01,15,25.715592135345222
marcin gortat,83.0,240.0,1984-02-17,12,24.49121788358252
ronnie price,74.0,190.0,1983-06-21,13,24.39189189189189
jose calderon,75.0,200.0,1981-09-28,15,24.995555555555555
shavlik randolph,82.0,236.0,1983-11-24,8,24.674003569303984
alan anderson,78.0,220.0,1982-10-16,9,25.42077580539119
james singleton,80.0,230.0,1981-07-20,6,25.2640625
will bynum,72.0,185.0,1983-01-04,9,25.087770061728396
stephen graham,78.0,215.0,1982-06-11,7,24.843030900723207
chuck hayes,78.0,240.0,1983-06-11,11,27.731755424063117
john lucas iii,71.0,166.0,1982-11-21,8,23.149771870660583
jamario moon,80.0,205.0,1980-06-13,6,22.51796875
andrea bargnani,84.0,245.0,1985-10-26,10,24.40972222222222
lamarcus aldridge,83.0,250.0,1985-07-19,17,25.51168529539846
tyrus thomas,82.0,225.0,1986-08-17,8,23.523944080904222
shelden williams,81.0,250.0,1983-10-21,7,26.787075140984605
brandon roy,78.0,211.0,1984-07-23,6,24.380834976988822
randy foye,76.0,218.0,1983-09-24,12,26.532894736842106
rudy gay,80.0,250.0,1986-08-17,18,27.4609375
jj redick,75.0,200.0,1984-06-24,16,24.995555555555555
hilton armstrong,83.0,235.0,1984-11-23,6,23.980984177674554
thabo sefolosha,78.0,215.0,1984-05-02,15,24.843030900723207
ronnie brewer,79.0,235.0,1985-03-20,8,26.470918122095817
shawne williams,82.0,230.0,1986-02-16,8,24.046698393813205
renaldo balkman,80.0,225.0,1984-07-14,7,24.71484375
rajon rondo,73.0,180.0,1986-02-22,17,23.74554325389379
kyle lowry,72.0,196.0,1986-03-25,19,26.579475308641975
shannon brown,75.0,215.0,1985-11-29,9,26.87022222222222
jordan farmar,74.0,180.0,1986-11-30,10,23.10810810810811
sergio rodriguez,75.0,176.0,1986-06-12,6,21.996088888888888
joel freeland,82.0,225.0,1987-02-07,3,23.523944080904222
james white,79.0,215.0,1982-10-21,4,24.218074026598302
steve novak,82.0,225.0,1983-06-13,11,23.523944080904222
solomon jones,82.0,235.0,1984-07-16,8,24.56945270672219
p.j. tucker,77.0,245.0,1985-05-05,15,29.049586776859503
craig smith,79.0,265.0,1983-11-10,6,29.850184265342094
daniel gibson,74.0,200.0,1986-02-27,8,25.675675675675677
paul millsap,79.0,257.0,1985-02-10,17,28.949046627143087
leon powe,80.0,240.0,1984-01-22,6,26.3625
ryan hollins,84.0,240.0,1984-10-10,10,23.91156462585034
chris quinn,74.0,175.0,1983-09-27,7,22.466216216216218
lou amundson,81.0,220.0,1982-12-07,11,23.572626124066453
pooh jeter,71.0,175.0,1983-12-02,2,24.404879984130133
j.j. barea,70.0,180.0,1984-06-26,15,25.824489795918367
mike harris,78.0,242.0,1983-06-15,4,27.96285338593031
walker russell,77.0,195.0,1960-10-26,6,23.12109967954124
greg oden,84.0,273.0,1988-01-22,4,27.199404761904763
kevin durant,83.0,240.0,1988-09-29,18,24.49121788358252
al horford,80.0,240.0,1986-06-03,18,26.3625
mike conley,73.0,175.0,1987-10-11,18,23.085944830174515
jeff green,80.0,235.0,1986-08-28,18,25.81328125
corey brewer,81.0,188.0,1986-03-05,14,20.143880506020423
brandan wright,82.0,235.0,1987-10-05,10,24.56945270672219
joakim noah,83.0,232.0,1985-02-25,14,23.674843954129773
spencer hawes,85.0,245.0,1988-04-28,11,23.838754325259515
acie law,75.0,202.0,1985-01-25,5,25.24551111111111
thaddeus young,80.0,225.0,1988-06-21,18,24.71484375
julian wright,80.0,225.0,1987-05-20,5,24.71484375
al thornton,80.0,235.0,1983-12-07,5,25.81328125
nick young,79.0,210.0,1985-06-01,12,23.65486300272392
rodney stuckey,77.0,205.0,1986-04-21,10,24.306797099004893
marco belinelli,77.0,220.0,1986-03-25,14,26.085343228200372
sean williams,82.0,235.0,1986-09-13,5,24.56945270672219
jason smith,84.0,240.0,1986-03-02,11,23.91156462585034
daequan cook,77.0,210.0,1987-04-28,7,24.899645808736718
jared dudley,78.0,237.0,1985-07-10,15,27.38510848126233
wilson chandler,80.0,235.0,1987-05-10,13,25.81328125
rudy fernandez,,,1985-04-04,5,
morris almond,78.0,225.0,1985-02-02,4,25.99852071005917
aaron brooks,72.0,161.0,1985-01-14,11,21.833140432098766
arron afflalo,77.0,210.0,1985-10-15,12,24.899645808736718
tiago splitter,83.0,245.0,1985-01-01,8,25.001451589490493
carl landry,81.0,248.0,1983-09-19,10,26.572778539856728
glen davis,81.0,289.0,1986-01-01,8,30.965858862978205
