PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,Injury
Chris Boucher,Raptors,13 April 2025,13 May 2025,30,Illness
Gary Payton II,Warriors,04 May 2025,06 May 2025,2,Illness
Jonathan Kuminga,Warriors,30 April 2025,01 May 2025,1,Illness
Patty Mills,Clippers,08 April 2025,19 April 2025,11,Illness
Kristaps Porzingis,Celtics,13 April 2025,16 April 2025,3,Illness
Moussa Diabate,Hornets,09 April 2025,13 April 2025,4,Illness
Kristaps Porzingis,Celtics,06 April 2025,08 April 2025,2,Illness
Ja Morant,Grizzlies,05 April 2025,07 April 2025,2,Illness
Vince Williams Jr.,Grizzlies,01 April 2025,07 April 2025,6,Illness
Dean Wade,Cavaliers,02 April 2025,06 April 2025,4,Illness
PJ Washington,Mavericks,02 April 2025,03 April 2025,1,Illness
Royce O'Neale,Suns,01 April 2025,03 April 2025,2,Illness
Taj Gibson,Hornets,02 April 2025,03 April 2025,1,Illness
Tony Bradley,Pacers,01 April 2025,03 April 2025,2,Illness
John Konchar,Grizzlies,01 April 2025,02 April 2025,1,Illness
Myles Turner,Pacers,31 March 2025,02 April 2025,2,Illness
Walker Kessler,Jazz,28 March 2025,02 April 2025,5,Illness
Davion Mitchell,Heat,31 March 2025,01 April 2025,1,Illness
E.J. Liddell,Bulls,29 March 2025,01 April 2025,3,Illness
Luke Kornet,Celtics,31 March 2025,01 April 2025,1,Illness
Jalen Hood-Schifino,76ers,26 March 2025,29 March 2025,3,Illness
Lauri Markkanen,Jazz,22 March 2025,29 March 2025,7,Illness
Marcus Smart,Wizards,27 March 2025,29 March 2025,2,Illness
Chris Boucher,Raptors,23 March 2025,28 March 2025,5,Illness
Kristaps Porzingis,Celtics,23 March 2025,24 March 2025,1,Illness
Vasilije Micic,Suns,21 March 2025,24 March 2025,3,Illness
Anfernee Simons,Blazers,21 March 2025,23 March 2025,2,Illness
Jake LaRavia,Kings,19 March 2025,20 March 2025,1,Illness
Klay Thompson,Mavericks,19 March 2025,20 March 2025,1,Illness
Marcus Smart,Wizards,17 March 2025,19 March 2025,2,Illness
RJ Barrett,Raptors,16 March 2025,19 March 2025,3,Illness
Delon Wright,Knicks,15 March 2025,17 March 2025,2,Illness
Aaron Wiggins,Thunder,15 March 2025,16 March 2025,1,Illness
Kristaps Porzingis,Celtics,28 February 2025,15 March 2025,15,Illness
Quentin Grimes,76ers,14 March 2025,15 March 2025,1,Illness
Alex Caruso,Thunder,12 March 2025,14 March 2025,2,Illness
De'Andre Hunter,Cavaliers,11 March 2025,14 March 2025,3,Illness
Andre Drummond,76ers,10 March 2025,12 March 2025,2,Illness
Markieff Morris,Lakers,04 March 2025,08 March 2025,4,Illness
Jonathan Isaac,Magic,06 March 2025,07 March 2025,1,Illness
Josh Green,Hornets,05 March 2025,07 March 2025,2,Illness
Keyonte George,Jazz,05 March 2025,07 March 2025,2,Illness
Tyler Herro,Heat,05 March 2025,07 March 2025,2,Illness
Georges Niang,Hawks,02 March 2025,04 March 2025,2,Illness
Kelly Oubre Jr.,76ers,03 March 2025,04 March 2025,1,Illness
Taj Gibson,Hornets,03 March 2025,04 March 2025,1,Illness
Jusuf Nurkic,Hornets,27 February 2025,02 March 2025,3,Illness
Trayce Jackson-Davis,Warriors,23 February 2025,27 February 2025,4,Illness
